symbol,timestamp,timezone,open,high,low,close,volume,source_path
SPY,2025-04-10 13:10:00,US/Eastern,517.42,517.76,513.5,514.61,1947100,data/SPY/2025-04-11.json
SPY,2025-04-10 13:15:00,US/Eastern,514.6,515.85,513.58,515.41,1531126,data/SPY/2025-04-11.json
SPY,2025-04-10 13:20:00,US/Eastern,515.37,516.45,512.87,515.84,1366899,data/SPY/2025-04-11.json
SPY,2025-04-10 13:25:00,US/Eastern,515.83,519.59,515.49,519.32,1414058,data/SPY/2025-04-11.json
SPY,2025-04-10 13:30:00,US/Eastern,519.21,520.9999,518.32,519.19,1062661,data/SPY/2025-04-11.json
SPY,2025-04-10 13:35:00,US/Eastern,519.16,521.75,518.92,519.34,1409319,data/SPY/2025-04-11.json
SPY,2025-04-10 13:40:00,US/Eastern,519.37,522.89,519.09,522.6301,1476788,data/SPY/2025-04-11.json
SPY,2025-04-10 13:45:00,US/Eastern,522.66,525,522.09,522.59,1827797,data/SPY/2025-04-11.json
SPY,2025-04-10 13:50:00,US/Eastern,522.62,524.6,521.07,523.9399,1325526,data/SPY/2025-04-11.json
SPY,2025-04-10 13:55:00,US/Eastern,523.94,525.55,523.75,524.28,1332798,data/SPY/2025-04-11.json
SPY,2025-04-10 14:00:00,US/Eastern,524.19,527.75,523.528,527.07,1603781,data/SPY/2025-04-11.json
SPY,2025-04-10 14:05:00,US/Eastern,527.05,527.76,522.36,522.56,2366462,data/SPY/2025-04-11.json
SPY,2025-04-10 14:10:00,US/Eastern,522.54,523.29,520.51,520.93,1496659,data/SPY/2025-04-11.json
SPY,2025-04-10 14:15:00,US/Eastern,520.87,523.59,520.31,522.81,1293094,data/SPY/2025-04-11.json
SPY,2025-04-10 14:20:00,US/Eastern,522.8325,527.37,522.82,526.36,1166354,data/SPY/2025-04-11.json
SPY,2025-04-10 14:25:00,US/Eastern,526.3425,528.76,525.52,528.39,1294404,data/SPY/2025-04-11.json
SPY,2025-04-10 14:30:00,US/Eastern,528.39,529.56,526.86,526.96,1436944,data/SPY/2025-04-11.json
SPY,2025-04-10 14:35:00,US/Eastern,526.945,527.81,525.548,527.43,1123453,data/SPY/2025-04-11.json
SPY,2025-04-10 14:40:00,US/Eastern,527.49,529.71,526.65,529.48,1031796,data/SPY/2025-04-11.json
SPY,2025-04-10 14:45:00,US/Eastern,529.42,529.53,525.46,526.5641,1351679,data/SPY/2025-04-11.json
SPY,2025-04-10 14:50:00,US/Eastern,526.56,528.21,524.41,524.62,1468822,data/SPY/2025-04-11.json
SPY,2025-04-10 14:55:00,US/Eastern,524.675,527.1299,523.57,526.07,1420115,data/SPY/2025-04-11.json
SPY,2025-04-10 15:00:00,US/Eastern,526.17,529.43,524.95,528.7,1277982,data/SPY/2025-04-11.json
SPY,2025-04-10 15:05:00,US/Eastern,528.6834,529.21,524.2812,524.355,1525281,data/SPY/2025-04-11.json
SPY,2025-04-10 15:10:00,US/Eastern,524.38,525.81,523.78,525.34,1084971,data/SPY/2025-04-11.json
SPY,2025-04-10 15:15:00,US/Eastern,525.26,527.28,524.12,526.95,1119153,data/SPY/2025-04-11.json
SPY,2025-04-10 15:20:00,US/Eastern,526.97,528.69,524.93,525.85,1250566,data/SPY/2025-04-11.json
