symbol,timestamp,timezone,open,high,low,close,volume,source_path
SPY,2024-11-29 13:05:00,US/Eastern,602.57,602.64,598.7518,602.39,1936241,data/SPY/2024-12-02.json
SPY,2024-11-29 13:10:00,US/Eastern,602.55,602.8091,602.1,602.45,4144997,data/SPY/2024-12-02.json
SPY,2024-11-29 13:15:00,US/Eastern,602.46,602.6,598.7518,602.55,437943,data/SPY/2024-12-02.json
SPY,2024-11-29 13:20:00,US/Eastern,602.485,602.71,598.7518,602.45,460222,data/SPY/2024-12-02.json
SPY,2024-11-29 13:25:00,US/Eastern,602.44,602.71,602.41,602.65,99743,data/SPY/2024-12-02.json
SPY,2024-11-29 13:30:00,US/Eastern,602.66,602.68,602.5,602.66,13915,data/SPY/2024-12-02.json
SPY,2024-11-29 13:35:00,US/Eastern,602.66,602.8,602.55,602.75,187661,data/SPY/2024-12-02.json
SPY,2024-11-29 13:40:00,US/Eastern,602.78,602.78,602.6,602.6,14171,data/SPY/2024-12-02.json
SPY,2024-11-29 13:45:00,US/Eastern,602.61,602.62,602.55,602.62,53345,data/SPY/2024-12-02.json
SPY,2024-11-29 13:50:00,US/Eastern,602.62,602.71,602.55,602.61,24700,data/SPY/2024-12-02.json
SPY,2024-11-29 13:55:00,US/Eastern,602.64,602.71,602.57,602.63,3702,data/SPY/2024-12-02.json
SPY,2024-11-29 14:00:00,US/Eastern,602.65,602.67,602.61,602.67,4404,data/SPY/2024-12-02.json
SPY,2024-11-29 14:05:00,US/Eastern,602.67,602.7,602.55,602.66,9427,data/SPY/2024-12-02.json
SPY,2024-11-29 14:10:00,US/Eastern,602.7,602.74,602.62,602.665,3149,data/SPY/2024-12-02.json
SPY,2024-11-29 14:15:00,US/Eastern,602.67,602.7,602.55,602.6,8146,data/SPY/2024-12-02.json
SPY,2024-11-29 14:20:00,US/Eastern,602.58,602.6,602.46,602.6,11580,data/SPY/2024-12-02.json
SPY,2024-11-29 14:25:00,US/Eastern,602.46,602.6,602.46,602.46,3990,data/SPY/2024-12-02.json
SPY,2024-11-29 14:30:00,US/Eastern,602.46,602.48,602.38,602.4,9580,data/SPY/2024-12-02.json
SPY,2024-11-29 14:35:00,US/Eastern,602.4,602.47,602.21,602.43,27284,data/SPY/2024-12-02.json
SPY,2024-11-29 14:40:00,US/Eastern,602.43,602.53,602.31,602.51,9003,data/SPY/2024-12-02.json
SPY,2024-11-29 14:45:00,US/Eastern,602.49,602.55,602.28,602.55,41275,data/SPY/2024-12-02.json
SPY,2024-11-29 14:50:00,US/Eastern,602.47,602.67,602.46,602.66,2598,data/SPY/2024-12-02.json
SPY,2024-11-29 14:55:00,US/Eastern,602.61,602.67,602.55,602.635,1449,data/SPY/2024-12-02.json
SPY,2024-11-29 15:00:00,US/Eastern,602.66,602.67,602.56,602.6,4478,data/SPY/2024-12-02.json
SPY,2024-11-29 15:05:00,US/Eastern,602.6,602.67,602.56,602.67,1202,data/SPY/2024-12-02.json
SPY,2024-11-29 15:10:00,US/Eastern,602.65,602.78,602.56,602.75,2873,data/SPY/2024-12-02.json
SPY,2024-11-29 15:15:00,US/Eastern,602.75,602.78,602.67,602.67,1230,data/SPY/2024-12-02.json
SPY,2024-11-29 15:20:00,US/Eastern,602.73,602.78,602.57,602.62,2784,data/SPY/2024-12-02.json
SPY,2024-11-29 15:25:00,US/Eastern,602.75,602.78,602.6,602.775,2764,data/SPY/2024-12-02.json
SPY,2024-11-29 15:30:00,US/Eastern,602.55,602.83,602.55,602.81,1635421,data/SPY/2024-12-02.json
SPY,2024-11-29 15:35:00,US/Eastern,602.83,602.85,602.62,602.8,2692,data/SPY/2024-12-02.json
SPY,2024-11-29 15:40:00,US/Eastern,602.83,602.85,602.74,602.85,1944,data/SPY/2024-12-02.json
SPY,2024-11-29 15:45:00,US/Eastern,602.795,602.85,602.74,602.85,9239,data/SPY/2024-12-02.json
SPY,2024-11-29 15:50:00,US/Eastern,602.85,602.85,602.74,602.81,3580,data/SPY/2024-12-02.json
SPY,2024-11-29 15:55:00,US/Eastern,602.81,602.9,602.61,602.89,18915,data/SPY/2024-12-02.json
SPY,2024-11-29 16:00:00,US/Eastern,602.78,602.8,602.61,602.64,2620,data/SPY/2024-12-02.json
SPY,2024-11-29 16:05:00,US/Eastern,602.64,602.89,602.55,602.71,5905,data/SPY/2024-12-02.json
SPY,2024-11-29 16:10:00,US/Eastern,602.71,602.9,602.71,602.825,6538,data/SPY/2024-12-02.json
SPY,2024-11-29 16:15:00,US/Eastern,602.9,603,602.76,602.91,15732,data/SPY/2024-12-02.json
SPY,2024-11-29 16:20:00,US/Eastern,602.925,603.09,602.7763,602.92,2507,data/SPY/2024-12-02.json
SPY,2024-11-29 16:25:00,US/Eastern,602.9,603.1,602.8,603.05,1314,data/SPY/2024-12-02.json
SPY,2024-11-29 16:30:00,US/Eastern,602.96,603.1,602.82,603.0832,4269,data/SPY/2024-12-02.json
SPY,2024-11-29 16:35:00,US/Eastern,603.05,603.09,602.82,602.97,1750,data/SPY/2024-12-02.json
SPY,2024-11-29 16:40:00,US/Eastern,603.08,603.0957,602.83,603.08,12874,data/SPY/2024-12-02.json
SPY,2024-11-29 16:45:00,US/Eastern,603.09,603.15,602.92,603.06,4576,data/SPY/2024-12-02.json
SPY,2024-11-29 16:50:00,US/Eastern,603.1,603.13,602.93,603.045,9791,data/SPY/2024-12-02.json
SPY,2024-11-29 16:55:00,US/Eastern,603.09,603.14,603,603.14,14639,data/SPY/2024-12-02.json
SPY,2024-11-29 17:00:00,US/Eastern,602.55,602.55,602.55,602.55,1615771,data/SPY/2024-12-02.json
